Course Number,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
ME 692-X,Special Topics in Mechanical Engineering: Wind Engineering,1.5,0,1.5,2,Dhwanil Shukla(I+L),,,,"J2
(7/203)",,"M2
(ME Lab)",https://docs.google.com/document/d/1b7tTdQOOQQqDU3S753Al1RPtnsnrGP371T_4-KMRPBU/edit?usp=sharing,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Materials Engineering																	,,,,,,,,,,,,,,,,,
MSE 352,Material Characterization Techniques,1.5,0,3,4,Emila Panda(I+L),,,,"N2,P2
(10/102)",,"L1,N1
(MSE Lab)",https://drive.google.com/file/d/1XKogvsDbG2UkVcRGtYrwvWQRT6yDCJ0p/view?usp=drive_link,,,,
MSE 604,Deformation Behaviour of Materials,3,0,0,4,Pradipta Ghosh(I),,,,"K1,K2
(7/206)",,,https://drive.google.com/file/d/1wIKBcDKpokCDqVJQDKlIvOi4KQ0vEKz7/view?usp=sharing,,,,
MSE 629,Structure and Defects of Materials,3,0,0,4,Prafull Pandey(I),,,,"F1,F2
(10/102)",,,https://drive.google.com/file/d/1vFBX3yMD3QRyQWG95SBxo6AI_tL5lMEp/view?usp=drive_link,,,,
MSE 632,Characterization of Materials,3,0,3,4,Sriharitha Rowthu(I+L),,,,"G1,G2
(7/107)",,"I2,M1
(MSE Lab)",MSE205_Course Policy_2026-27_Sem II.pdf,,,,
MSE 636,AI for Materials Engineering,3,0,1.5,4,Raghavan Ranganathan(I+L),,,,"E1,E2
(7/204)",,"H1
(7/201)",https://drive.google.com/file/d/1uS0DorDBtyuNqoESuXMkM_-9ji3gOpOZ/view?usp=sharing,,,,
MSE 624,Thermo-mechanical Processing,3,0,0,4,Amit Arora(I),,,,"M1,M2
(7/104)",,,https://drive.google.com/file/d/1tOvCKt27XcX_vt0CeznUBlZdB5e9HzpA/view?usp=drive_link,,,,
MSE 631,Thermodynamics of Materials,3,0,0,4,Abhay Raj Singh Gautam(I),,,,"D1,D2
(7/104)",,,,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Chemistry																	,,,,,,,,,,,,,,,,,
CH 302,Electrochemical Science and Engineering,3,1,0,4,Sudhanshu Sharma(I+T),,,,"I1,I2
(13/124)","J1
(13/124)",,https://iitgnacin-my.sharepoint.com/:b:/g/personal/ssharma_iitgn_ac_in/IQAfjaMcr9zhQJJJ3JsqIGbbAS2IrLH2WNhYraISQG0cXdc?e=x3vY2S,,,,BS
CH 506,Physical Organic Chemistry,3,0,0,4,Kuljeet Kaur(I),,,,"A1,A2
(7/107)",,,https://drive.google.com/file/d/1I2oe8jr08K0lhzyKZWHxWLJBmy-5uLle/view?usp=sharing,,,,BS
CH 511,Quantum Chemistry,3,0,0,4,Anirban Mondal(I),,,,"F1,F2
(7/209)",,,https://drive.google.com/file/d/1XEEqhDckROp6hc2T8junq4VnEOqgLkYV/view?usp=drive_link,,,,BS
CH 513,Advanced Organic Chemistry,3,0,0,4,Sivapriya Kirubakaran(I),,,,"C1,C2
(7/106)",,,https://docs.google.com/document/d/19iUzT5ju2-TF4lM4pmuEiSdFvsBtT20DGIyXNMBUdi8/edit?tab=t.0,,,,BS
CH 528,Transition Metal Chemistry,3,0,0,4,Priyabrata Ghana(I),,,,"J1,J2
(7/107)",,,https://drive.google.com/file/d/1l20nW5O1vlgBWW0AVV9kw5IhfhV3neE9/view?usp=drive_link,,,,BS
CH 529,AI in Chemistry,3,0,0,4,Anirban Mondal(I),,,,,,,Course_Plan_Quantum_Chemistry.docx.pdf,,,,
CH 635,Chemical Crystallography,2,0,1,4,Vijay Thiruvenkatam(I+L),,,,"M1,M2
(7/205)",,"I2
(CH Lab)",https://iitgnacin-my.sharepoint.com/:f:/g/personal/vijay_iitgn_ac_in/IgDi2j6uKCWoSb0MHiTi2Q1IAQN62erf9x7WQetKXbIicDc?e=xG2H5M,,,,BS
CH 616,Applied Chemical Biology,3,0,0,4,Sudipta Basu(I),,,,"D1,D2
(7/205)",,,https://drive.google.com/file/d/13aHcvY0HF-0uqXoD8DvgIO38Ocro_UMH/view?usp=sharing,,,,BS
CH 622,Interpretative Organic Spectroscopy,3,0,0,4,Sriram V Gundimeda(I),,,,"B1,B2
(7/108)",,,https://docs.google.com/document/d/1HRo7a5vf166d4I7NHb_u5lNFA9MdrRQZ/edit?usp=drive_link&ouid=100922624225150130455&rtpof=true&sd=true,,,,BS
CH 624,Molecular Spectroscopy,3,0,0,4,Saumyakanti Khatua(I),,,,"J1,J2
(13/125)",,,https://drive.google.com/file/d/1o_4bi7BrdQ1NOSvZYXaXR39-2JJ1AgvH/view?usp=sharing,,,,BS
CH 626,Asymmetric Synthesis and Catalysis,3,0,0,4,"Chandrakumar Appayee(I), Vatsal Chande(GTF/T)",,,,"E1,E2
(11/205)","N2
(11/205)",,https://drive.google.com/file/d/1K8q7ie60YTPp0yCOhZQy-4_riBhnTOvQ/view?usp=sharing,,,,BS
CH 627,Metabolism & Biosynthesis,3,0,0,4,Bhaskar Datta(I),,,,"K1,K2
(11/204)",,,https://drive.google.com/file/d/1QaTSeZA2O2oJ2fdXMJOmlmIVom8YH4qD/view?usp=drive_link,,,,BS
CH 634,Introduction to Molecular Dynamics,1.5,0,3,4,Sairam Swaroop Mallajosyula(I+L),,,,"G2
(7/104)",,"J1,P2
(10/104)",https://iitgnacin-my.sharepoint.com/:b:/g/personal/msairam_iitgn_ac_in/IQDvZkQN3loHR5Q9iQxK0aqjAYN5aofIqJCvHPoVYogVXv0?e=LEUl0v,,,,BS
CH 636,Statistical thermodynamics and its applications in chemistry,3,0,0,4,Sairam Swaroop Mallajosyula(I),,,,"L1,L2
(7/104)",,,https://iitgnacin-my.sharepoint.com/:b:/g/personal/msairam_iitgn_ac_in/IQBd-2M10pI1RZxW3tUUAYKlAYV-6e77xfkINavOgEkpHEY?e=uHD2jp,,,,BS
CH 637,Organic Electronics,3,0,0,4,Partha Pratim Roy(I),,,,"J1,J2
(7/108)",,,,,,,BS
CH 640,Bio-inorganic Chemistry,3,0,0,4,Biswajit Mondal(I),,,,"L1,L2
(7/101)",,,Course plan for CH640_Bio-inorganic Chemistry.pdf,,,,BS
CH 641,Chemistry of Energy Materials,3,0,0,4,Manisha Samanta(I),,,,"M1,M2
(7/210)",,,CH641-course-plan-2025 -Samanta.pdf,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Mathematics																	,,,,,,,,,,,,,,,,,
MA 501,Basic Algebra,3,1.5,0,4,Akshaa Vatwani(I+T),,,,"E1,E2
(7/107)","B1
(7/202)",,,,,,BS
MA 504 (A),Linear Algebra,3,1.5,0,4,Bipul Saurabh(I+T),,,,"D1,D2
(7/109)","H2
(10/102)",,https://drive.google.com/file/d/1RRffDpOpw3z5E44lzVvC5cpZKGL6ahy1/view?usp=sharing,,,,
MA 509 (A),Real Analysis of One Variable ,3,1.5,0,4,Chetan Pahlajani(I+T),,,,"C1,C2
(10/102)","B2
(10/102)",,https://drive.google.com/file/d/14Yv73k744ZJRxc2rGCkkjMP_UTGfF0Hl/view?usp=drive_link,,,,
MA 510,Topology,3,1.5,0,4,Sanjaykumar Amrutiya(I+T),,,,"G1,G2
(11/102)","A1
(7/108)",,https://drive.google.com/file/d/12gfaO0WrmERELBW9-iiZUzSoEkhmAdVN/view?usp=drive_link,,,,BS
MA 513,AI and Mathematics,3,1.5,0,4,Madhu Gupta(I+T),,,,"N1,N2
(7/210)","H1
(7/103)",,https://drive.google.com/open?id=1yueR1OAYmP2PHPXdfSRS19zYEegLw9HS&usp=drive_fs,,,,
MA 605,Commutative Algebra,3,1.5,0,4,Jugal K. Verma(I+T),,,,"E1,E2
(7/103)","C1
(7/105)",,https://docs.google.com/document/d/1fsRYMpwaa82qX1KUGJ5VUbFb7axywTnT/edit?usp=drive_link&ouid=110373418881838401996&rtpof=true&sd=true,,,,
MA 623,Number Theory,3,1.5,0,4,Atul Abhay Dixit(I+T),,,,"L1,L2
(7/202)","K2
(7/202)",,https://drive.google.com/file/d/1AIjsPnrKxJtskeSGX-cEBblSyyGCyMp7/view?usp=sharing,,,,
MA 624,Partial Differential Equations,3,1.5,0,4,Jagmohan Tyagi(I+T),,,,"F1,F2
(7/107)","A2
(7/102)",,https://drive.google.com/file/d/10Pgshu00wNugt93IOk6N-8vAbRj4ENsh/view?usp=drive_link,,,,
MA 626,Functional Analysis,3,1.5,0,4,Rohit Kumar Mishra(I+T),,,,"D1,D2
(7/203)","I1
(7/102)",,https://www.dropbox.com/scl/fi/x7xbrwfcb87jdagz4zdsm/Course-Plan-MA-626.pdf?rlkey=za8eohg3992ljq1za7buiihhh&dl=0,,,,
MA 627,Algebraic Topology,3,1.5,0,4,Arnab Saha(I+T),,,,"M1,M2
(11/206)","K1
(11/101)",,https://drive.google.com/file/d/18WtNdr5jMYG-t5yl8Wgugc-y1T2UBRWe/view?usp=sharing,,,,
MA 630 (A),Measure Theory & Probability,3,1.5,0,4,Chetan Pahlajani(I+T),,,,"G1,G2
(7/202)","H2
(11/102)",,https://drive.google.com/file/d/146GahBr_v1ZNgaXDtG_LLYZYug7qn9c0/view?usp=drive_link,,,,
MA 640,Integral Geometry in Imaging Sciences,3,0,0,4,Rohit Kumar Mishra(I),,,,"I2,B2
(7/106)",,,https://www.dropbox.com/scl/fi/745rtvzjwoz7cl2cvhija/Course-Plan-MA-640.pdf?rlkey=z8mycalfkz98xjaj17qo4oi0v&dl=0,,,,
MA 642,Fourier Analysis on LCA Groups (first half),3,0,0,2,Bipul Saurabh(I),,,,"J1,J2
(7/207)",,,https://drive.google.com/file/d/1O7_A5nJGCK2iAJio5B-d3gXQl5N-PPsx/view?usp=sharing,,,,
MA 636,Introduction to Riemannian Geometry,3,0,0,4,TBD(I),,,,"L1,L2
(7/103)",,,,,,,
MA 643,Numerical Analysis for Partial Differential Equations,3,0,0,4,Abhinav Jha(I),,,,"K1,K2
(7/110)",,,https://drive.google.com/file/d/1o0iILhpRpC3cNJbu-MoaDckHwQbumwr1/view?usp=drive_link,,,,
MA 691-II,Special Topics in Mathematics: Hilbert Modules,3,0,0,4,Gadadhar Misra(I),,,,"M1,M2
(7/105)",,,https://www.dropbox.com/scl/fi/gq5ygbtek8y780u8okvjm/2026AugMA-691-II.pdf?rlkey=t1z8r2hwcn4bdqdsggugihiup&dl=0,,,,
MA 691-VIII,Special Topics in Mathematics: Spectral Graph Theory,3,0,0,4,Projesh Nath Choudhury(I),,,,"J1,J2
(7/104)",,,https://projesh.people.iitgn.ac.in/Teaching/MA691/CP_MA691-26.pdf,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Physics																	,,,,,,,,,,,,,,,,,
PH 502,Mathematical Methods of Physics - I,3,1,0,4,Prasanna Venkatesh Balasubramanian(I+T),,,,"G1,G2
(11/101)","A1
(10/102)",,https://iitgnacin-my.sharepoint.com/:b:/g/personal/prasanna_b_iitgn_ac_in/IQALR3Z_fKSSQpZeoMYuWp2_AR-Rq9Brfxr0NE_1iX73sd0?e=l2yaIy,,,,BS
PH 503,Quantum Mechanics I,3,1,0,4,Arpan Bhattacharyya(I+T),,,,"E1,E2
(7/202)","B1
(7/107)",,https://docs.google.com/document/d/1gDDGaxy27VNYS871dRzBD8s0DrIs_6p9/edit,,,,BS
PH 505,Classical Electrodynamics,3,1,0,4,Urjit Yajnik(I+T),,,,"C1,C2
(7/102)","H2
(7/102)",,https://drive.google.com/file/d/1tlnkKTGTaXkUhEc3dVMjfNuOK-Ba4CZO/view?usp=sharing,,,,BS
PH 508,Classical Mechanics,3,0,0,4,Rusa Mandal(I),,,,"D1,D2
(7/108)","F2
(7/208)",,https://docs.google.com/document/d/1SXJsEai2Y2CPnHDRsqJLaVCZfCkpgHZ1KCqb--cBvsY/edit?tab=t.0,,,,BS
PH 510,Condensed Matter Physics,3,1,0,4,Abhisek Samanta(I+T),,,,"F1,F2
(11/205)","B2
(13/124)",,https://drive.google.com/file/d/1Nvq-hJUIpkNRwVH8FhP8CzvUxCzzKgDR/view?usp=sharing,,,,BS
PH 610,Quantum Field Theory I,3,0,0,4,Baradhwaj Coleppa(I),,,,"D1,D2
(5/202)",,,https://docs.google.com/document/u/0/d/1bowezKo0pP7dCu-KmKThAcwI-nYuk7WLP73cTanJq2I/edit,,,,BS
PH 611,X-ray Scattering: Concepts and Applications,3,0,0,4,Rupak Banerjee(I),,,,"G1,G2
(7/106)",,,https://drive.google.com/file/d/19jFNA_zRiz0gLbz2pG3T5yVXSL3CMR1K/view?usp=sharing,,,,BS
PH 614,Atomic and Molecular Physics,3,0,0,4,Krishna Kanti Dey(I),,,,"I1,I2
(7/202)",,,https://drive.google.com/file/d/1pw9GeqiDgkCW63yJP6oLCaLIvTquvNBC/view?usp=sharing,,,,BS
PH 643,Quantum Computing and Information,3,0,0,4,R.R. Puri(I),,,,"F1,F2
(7/210)",,,https://drive.google.com/file/d/1LQh8PoQmhvOQWIhInAr2T05JMcqrg2pE/view?usp=drive_link,,,,BS
PH 645,Topics in Soft and Active Matter Physics,3,0,0,4,Chandan Kumar(I),,,,"C1,C2
(7/104)",,,https://iitgnacin-my.sharepoint.com/:b:/g/personal/chandan_mishra_iitgn_ac_in/IQDa08zURnfPQLik9VVdxJcpARDMz8p9FvoEEEk0PkgmuMo?e=MmNX4x,,,,BS
PH 646,Advanced Statistical Physics,3,0,0,4,R.R. Puri(I),,,,"E1,E2
(11/206)",,,https://drive.google.com/file/d/1cVpt6m8NWFWZKsy9bk0UPiCwvyvNJL8V/view?usp=drive_link,,,,BS
PH 648,Semiconductor Optoelectronics,3,0,0,4,Gopinadhan Kalon(I),,,,"M1,M2
(7/206)",,,PH 648-SemiconductorOptoelectronics.pdf,,,,BS
PH 651,Nanomagnetism and Spintronics,3,0,0,4,Naveen Sisodia(I),,,,"J1,J2
(7/201)",,,coursepolicy_PH651_nanomagnetism_and_spintronics_sem1_2627.pdf,,,,
PH 609,Introduction to Einstein’s Theory of General Relativity,3,1,0,4,"Urjit Yajnik(I+T),Pinaki Banerjee(I+T)",,,,"M1,M2
(10/102)","J1
(7/108)",,https://iitgnacin-my.sharepoint.com/:b:/g/personal/urjit_yajnik_iitgn_ac_in/IQDh60qf95mgTICwllShyTkfASmDDTax7CsC8bWYNZ_OUok?e=i4kZHp,,,,BS
PH 652,Gravitational Wave Astronomy,3,0,0,4,Anand Sengupta(I),,,,"I1,I2
(13/125)",,,https://drive.google.com/file/d/12L5KZcCjjtoItwOK_YgYmmaO1UOqNJ8q/view?usp=sharing,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Earth Sciences																	,,,,,,,,,,,,,,,,,
EH 605,Modeling of Earth System and Sustainability,3,0,0,4,R.N. Singh(I),50,,,"G1,G2
(7/102)",,,https://drive.google.com/file/d/1bRaz0EZmUZm_ti2qyMZGRTRvzff1gkyg/view?usp=drive_link,,,,BS
EH 401,Archaeology: Theory and Methods,3,0,0,4,Sharada V Channarayapatna(I),,,,"M1,M2
(7/102)",,,https://drive.google.com/file/d/1Or63rR6-_uybQiUa7FKmiRQaGLHX-Sge/view?usp=drive_link,,,,
EH 635,Archaeology: Theory and Methods,3,0,0,4,Sharada V Channarayapatna(I),,,,"M1,M2
(7/102)",,,https://drive.google.com/file/d/1Or63rR6-_uybQiUa7FKmiRQaGLHX-Sge/view,,,,
EH 601,Earth Surface Processes in the Anthropocene,3,0,1.5,4,Vikrant Jain(I+L),,,,"F1,F2
(7/102)",,"J1
(EH Lab)",,,,,BS
EH 608,Biodiversity Conservation and Sustainable Development,3,0,0,4,C.N. Pandey(I),50,,,"D1,D2
(7/108)",,,https://docs.google.com/document/d/1_qctL71zjm1Gjj1cs3XgWJeU03RzpV_g/edit?usp=sharing&ouid=113799156655520473260&rtpof=true&sd=true,,,,BS
EH 618,Computational Tools for Earth System Modeling,0,0,6,4,Utsav Mannu(L),,,,,,"G1,I2,M1,P1
(10/104)",https://drive.google.com/file/d/1mm2WJ5qodjEOMHEC5A3E7Hd1O6-eHz4r/view?usp=sharing,,,,
EH 619,Geobiology,3,0,0,4,Sonal Khanolkar(I),100,,,"E1,E2
(Jayshree S Sheth Learning Theatre)",,,https://docs.google.com/document/d/18g4dsyA4wiFEFUEhOuIkMSusFLqUo69X/edit?usp=sharing&ouid=110875805035146007034&rtpof=true&sd=true,,,,
EH 620,Sequence Stratigraphy,1.5,0,3,4,Pankaj Khanna(I+L),,,,"F2
(EH Lab)",,"K2,L2
(EH Lab)",https://drive.google.com/file/d/146y5crnH01yYh26pHw38UiwAzbbAVMiD/view?usp=sharing,,,,
EH 624,Applied Micropaleontology,3,0,0,4,Sonal Khanolkar(I),,,,"M1,M2
(7/107)",,,https://docs.google.com/document/d/1YDCjd2zAPYgx1DB-VtU9oBmg-0df6eyE/edit?usp=drive_link&ouid=110875805035146007034&rtpof=true&sd=true,,,,
EH 625,Environmental Geosciences,3,0,0,4,Achyut Mishra(I),,,,"L1,L2
(7/106)",,,https://drive.google.com/file/d/1QDZF3H7RGPWIv3EP7h5uBsXMv8rhoY9Z/view?usp=drive_link,,,,
EH 626,Reservoir Modelling and Simulation,3,0,0,4,Achyut Mishra(I),,,,"D1,D2
(7/106)",,,https://drive.google.com/file/d/1UYXAlvySPYS-pZh5KNeprKSdARSbGkaQ/view?usp=sharing,,,,
EH 627,Anthropocene: Human Impact on the Earth,3,0,0,4,"Vikrant Jain(I),S. K. Tandon(I)",,,,"N1,N2
(7/203)",,,https://drive.google.com/file/d/1Ako_ydenPXNgD0Gbye7kRTlY74I0OZ-9/view?usp=drive_link,,,,
EH 634,Dynamic Earth Surface and Nature Hazards,1.5,0,3,4,Vikrant Jain(I+L),,,,"F1
(7/102)",,"B1,D1
(11/204)",https://drive.google.com/file/d/18LniBcuUGOlWh2_yuM99ISU3EyR0q9yj/view?usp=sharing,,,,
EH 638,Rock Mechanics and Rock Engineering,3,0,0,4,Manab Mukherjee(I),,,,"J1,J2
(7/206)",,,https://drive.google.com/file/d/1Brdolv5aKMG5A8rbqfB_uRjQ2a2FCuec/view?usp=sharing,,,,
EH 639,Statistics for Earth Sciences,1.5,0,3,4,Utsav Mannu(I),,,,"J1
(7/103)",,"K1,H1
(10/104)",https://docs.google.com/document/d/14vmw_O29cy-9hrvdd7v6nwu2J5TdyHfazBLl4WzjgzM/edit?usp=sharing,,,,
EH 691-III,Special Topics in Earth Science: Microwave Remote Sensing,3,0,0,4,Prem Chand Pandey(I),,,,"C1,C2
(7/103)",,,https://drive.google.com/file/d/1etOHz8sfBpVHO7s70CsxHmoq9JTE1CKh/view?usp=sharing,,,,BS
EH 691-XI,Special Topics in Earth Sciences: Stable Isotopes in Earth Systems,3,0,0,4,R. D. Deshpande(I),,,,"M1,M2
(7/202)",,,Course Details_Stable Isotopes in Earth Systems.pdf,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Cognitive Science,,,,,,,,,,,,,,,,,
CG 501,Computation and Cognition,3,0,0,4,Vaibhav Tripathi(I),,,,"F1,F2
(7/201)",,,Course Plan ,,,,BS
CG 503,Fundamentals of Cognitive Psychology,3,0,0,4,Meera Mary Sunny(I),,,,"G1,G2
(7/207)",,,https://docs.google.com/document/d/1DZjpE-0W950jpeWPb7eLvAoyVqDP8-YW/edit?usp=sharing&ouid=116968647900581462482&rtpof=true&sd,,,,BS
CG 504,Research Methods in Cognitive Science,1.5,0,1.5,4,Mahalakshmi Ramamurthy(I+L),,,,"J1,I1
(7/109)",,,https://docs.google.com/document/d/1MFDYXg20ZIwpQAVtDNvZ2cbq24WrlieaMzVbVKKdrvk/edit?tab=t.0,,,,BS
CG 505,Fundamental Neuroscience,3,0,0,4,Pratik Mutha(I),,,,"D1,D2
(7/208)",,,https://iitgnacin-my.sharepoint.com/:w:/g/personal/pm_iitgn_ac_in/IQBEDdg3e014S4Gy8o9fvC-0ASR3AFEPh6OcsbZZ14DSOfE?e=Pj1k6N,,,,BS
CG 606,Philosophy of Mind,3,0,0,4,Jaison A. Manjaly(I),,,,"C1,C2
(Jayshree S Sheth Learning Theatre)",,,https://drive.google.com/file/d/1ccSm_nY6tix8pvIntOwdm-oAH_d5cbFt/view?usp=sharing,,,,BS
CG 607,Emotion and Cognition,3,0,1,4,Meera Mary Sunny(I+T),,,,"L1,L2
(7/110)",,"H1
(7/110)",,,,,BS
CG 612,Neural Plasticity,3,0,0,4,Leslee Lazar(I),,,,"D1,D2
(7/201)",,,https://iitgnacin-my.sharepoint.com/:b:/g/personal/leslee_lazar_iitgn_ac_in/IQA8BAWD_qOqTJ2APbJmw4kyATTGGM11tUJa0f9-o7XuCjM?e=dyuuEe,,,,BS
CG 615,AI & Human Cognition,3,1.5,0,4,Sabyasachi Shivkumar(I+T),,,,"N1,N2
(7/109)","P2
(7/209)",,https://docs.google.com/document/d/1tRmPXavaUJBE5_HAnCHZUjSvWyq_ARef4JEq3ZLFPME/edit?usp=sharing,,,,
ES 606,Computational Neuroscience,3,0,0,4,Krishna Miyapuram(I),,,,"G1,G2
(7/201)",,,https://docs.google.com/document/u/0/d/17qJQNPpbHkf1ojjxh1dtmOrOwg3PS7zEA8YAVsWDEjM/edit,,,,
ES 673,NeuroAI: Neuroscience & Artificial Intelligence ,3,0,0,4,Vaibhav Tripathi(I),,,,"E1,E2
(7/206)",,,Course Plan Final,,,,
CG 691-V,Special Topics in Cognitive Science: The Multilingual Brain,3,0,0,4,Jooyung Kim(I),,,,"C1,C2
(7/201)",,,CG691-V_The Multilingual Brain_2026-27_SEM1_Syllabus_Kim,,,,
CG 691-VIII,Special Topics in Cognitive Sciences: Advanced Writing for Cognitive and Brain Sciences,1,0,3,4,Leslee Lazar(I+T),,,,"G1
(7/110)",,"I1,K1
(7/201)",https://iitgnacin-my.sharepoint.com/:b:/g/personal/leslee_lazar_iitgn_ac_in/IQBn8rw_FuGwSrdyBK18zvPMAe5OkrciqywpkZxGzugMRpQ?e=wNzZVR,,,,
,,,,,,,,,,,,,,,,,
"Additional Courses HSS, MS, Design, IN",,,,,,,,,,,,,,,,,
FP 602,Writing (For Engineering PhD students and MTech Students) [Course will start from Monday],1,0,3,4,Sharmita Lahiri(I+L),,,,"H1
(Jasubhai Auditorium)",,"P1,P2
(7/101,7/102,7/103,7/104,7/105,7/204,7/205,7/206,7/207)",https://drive.google.com/file/d/1CA1z_AAB4S7DtStNdOVW2gCOzdfAi1E1/view?usp=sharing,,"Classes will commence from next Monday (10th August, 2026).",,
FP 602 (MA),Writing (PG Mathematics),1,0,3,4,Indranath Sengupta(I+L),,,,"H1
(Jayshree S Sheth Learning Theatre)",,"P1 (11/101)
P2 (Jagdish Patel Learning Theatre,Harsha Patel Learning Theatre)",https://drive.google.com/file/d/1nsJWGNBQa6aPi_b9wy6NDVilWdbAylX9/view?usp=sharing,,,,
FP 602 (CG),Writing (PG Cognitive and Brain Science),1,0,3,4,Leslee Lazar(I+L),,,,"H2
(Jayshree S Sheth Learning Theatre)",,"I1,K1
(7/108)",https://iitgnacin-my.sharepoint.com/:b:/g/personal/leslee_lazar_iitgn_ac_in/IQC_Z1mqo1UaQK2b4v8cLfriAUXo-vFhl2nHj-i7Hh5cPcI?e=IS6aQr,,,,
FP 602 (CH),Writing (PG Chemistry),1.5,0,3,4,"Partha Pratim Roy(I),Manisha Samanta(L)",,,,"G1
(7/209)",,"I1,K1
(Surendra C Sheth Learning Theatre)",,,,,
HS 104,Foundational Sanskrit,3,1,0,4,Mana A Shah(I+T),,,,"L1,L2
(7/210)","J2
(7/103)",,https://docs.google.com/document/d/1nE3ISsoIzfwDzc-OcSw82HHaf_h8qIOMmaKJBaQhl4Y/edit?usp=sharing,,,,
HS 111,Urdu script and poetry,3,1,0,4,Mohd. Mubashshir Ahsan(I+T),,,,"G1,G2
(7/206)","H2
(13/124)",,https://docs.google.com/document/d/1Z6Y-tkPtrLE9OhBIJF7T8y2HDJrxH3DiVPpC4nOOOBs/edit?usp=sharing,,,,
HS 112,Urdu poetry interpretation,3,1,0,4,Mohd. Mubashshir Ahsan(I+T),,,,"F1,F2
(7/105)","M1
(7/101)",,https://drive.google.com/file/d/1228cDcLVN_5HSxkZvqo-L_K218L4eybU/view?usp=sharing,,,,
HS 152,Japanese Language for Beginners,3,1,0,4,Sweta Mistry(I),,,,"M1,M2
(11/102)","J1
(11/102)",,https://drive.google.com/file/d/1_ncVuW_jlf4SMrFT_EYHPw_kGQA3yfON/view?usp=sharing,,,,
HS 153,Advance Japanese Learning,3,1,0,4,Sweta Mistry(I),,,,"L1,L2
(11/206)","I1
(11/206)",,https://drive.google.com/file/d/1u1qNY-_gHCjTyFQ5Kfc_kY6PkuQj2qmx/view?usp=sharing,,,,
HS 154,Mandarin for Beginners,3,0,0,4,Hao Tsung Kao (I),,,,"N1,N2
(7/102)",,,,,,,
HS 155,Mandarin for Beginners - II,3,0,0,4,Hao Tsung Kao (I),,,,"L1,L2
(7/103)",,,,,,,
HS 221,Introduction to Philosophy,3,0,0,4,Jaison Manjaly(I),,,,"N1,N2
(Jasubhai Auditorium)",,,https://drive.google.com/file/d/1C_aSRcOgmMaYgNqDZ25tHxIaxROsqYbs/view?usp=sharing,,,,
HS 392,Special Topics in HSS: Competitiveness and Ethical Leadership (first half),3,0,0,2,Anurima Chatterjee(I),,,,"N2,P2
(5/202)",,,,,,,
MS 408,Financial Considerations in Engineering Decisions,3,0,0,4,K Chelvakumar(I),,,,"M1,M2
(7/209)",,,https://docs.google.com/document/d/19J5s3WCoh9IF7OkWe3yKJvwg7GoFemiXVX8HBSubZCw/edit?usp=sharing,,,,
MS 491,Special Topics in Management: Marketing Analytics,3,0,0,4,Marcos Severos(I),,,,"M1,M2
(Online)",,,,,,,
MS 491-XIII,"Special Topics in Management: An Introduction to Business, Organization & Finance",3,0,0,4,Praveen Gupta(I),,,,"P1,P2 (Jayshree S Sheth Learning Theatre)
Saturday (10:30 AM–12:30 PM) (11/102)",,,https://docs.google.com/spreadsheets/d/1Q69LRre_CMxErJsZ7MDzi-Grju4LwzgJ/edit?usp=sharing&ouid=108217837746585842388&rtpof=true&sd=true,,,,
MS 491-XVI,Special Topics in Management: Lean Six Sigma,3,0,0,4,Alok Bhatnagar(I),,,,"P1,P2
(7/208)",,,https://drive.google.com/file/d/1xSTSoHjxKP7hxKgvCST_t2tmWsK6vxP0/view?usp=sharing,,,,
MS 492-VIII,Special Topics in Management: Leadership Development & Executive Presence (first half),3,0,0,2,Ramachandran Veetikazhi(I),,,,"L1,L2
(7/105)",,,LD&EP_CLASSWISE SCHEDULE_IITGn_DrVeetikazhi_2026.pdf,,,,
MS 492-IX,Special Topics in Management: Managing People and Workplace Behaviour (first half),3,0,0,2,Ramachandran Veetikazhi(I),,,,"P1,P2
(7/106)",,,Managing People_CLASSWISE SCHEDULE_IITGn_DrVeetikazhi_2026.pdf,,,,
IN 304,Ancient Indian Technology,3,0,0,4,Alok Kumar Kanungo(I),,,,"K1,K2
(11/205,11/206)",,,https://drive.google.com/file/d/1N_NVxj1sORQmk_zXLa-apmPmSYxLGNxh/view?usp=sharing,,,,
IN 491,Special Topics: Foundations of User Experience,3,0,0,4,Nuno Guimaraes(I),,,,"M1,M2
(Online)",,,https://drive.google.com/file/d/1EMRHg32sPpaZ991RESzprGbmVplkP4Rh/view?usp=drive_link,,,,
HS 491-XI,Special Topics in HSS: Understanding and Designing Comics and Graphic Novels,3,0,0,4,Argha Manna(I),,,,"I1,I2
(10/102)",,,,,,,
HS 491-XIII,Special Topics in HSS:  Drawing Connections: Environmental Perception and Visual Anthropology,3,0,0,4,Suman Choudhury(I),,,,"M1,M2
(Jagdish Patel Learning Theatre)",,,,,,,
