Course Number,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
ME 207,Fluid Dynamics,3,1.5,1.5,5,"Shubhangi Shamsundar Bansude(I+T),Uddipta Ghosh(T),Lokesh Malik(L)",,,,"E1,E2
(7/109)","J2
(11/101,11/102)","K1
(ME Lab)",https://drive.google.com/file/d/1tTN5aA-Rn8g7cEnqo-RrvENjd3-5GNOX/view?usp=sharing,,,,
ME 209,Principles of Manufacturing Processes,2,0,1.5,3,Rakesh Singhai(I+L),,,,"D1,D2
(7/209)",,"A2
(7/209)",https://drive.google.com/file/d/19TmTi65Tp8N7TYFaZS2cB6qztPael3mB/view?usp=drive_link,,,,
MA 205,Calculus of Several Variables (first half),3,1.5,0,2,Tanya Kaushal Srivastava(I+T),,,,"F1,F2
(Jasubhai Auditorium)","B1
(Surendra C Sheth Learning Theatre,10/203,10/204,11/102,7/105,7/204,10/102,7/210)",,https://docs.google.com/document/d/1JfSWY7u7J7oVMK7QIZ9QtWu3q_7nHA2qi86mJYLZUBw/edit?usp=sharing,,Maths Basket,,BS
MA 206,Introduction to Complex Analysis (second half),3,1.5,0,2,Projesh Nath Choudhury(I+T),,,,"F1,F2
(7/205)","B1
(7/205)",,https://projesh.people.iitgn.ac.in/Teaching/MA206/CP_MA206-26.pdf,,Maths Basket,,BS
MSE 202,Materials Thermodynamics,3,1,0,4,Sesha Sai Behara(I+T),,,,"E1,E2
(7/104)","H1
(7/101)",,https://drive.google.com/file/d/1EVFsTZH6wrZTfJTknnTuPW3_g8PKSt1p/view?usp=sharing,,,,
CE 201,Earth Materials and Processes,1.5,0,3,2,Pankaj Khanna(I+L),,,,"E1
(13/124)",,"I1,K1
(CE Lab)",https://drive.google.com/file/d/1vyNn95PZYkZMhlRpY66kT3XCDtt7QV75/view?usp=sharing,,,,
CL 201,Chemical Process Calculations,2,1.5,0,3,Pratyush Dayal(I+T),,,,"G1,G2
(10/102)","I1
(11/101)",,https://iitgnacin-my.sharepoint.com/:b:/g/personal/pdayal_iitgn_ac_in/IQDQ_tCc1TY2RIGDi97pFvdvAUKIYc_ADcdK-Yy0gw-iC6k?e=YCfr6a,,,,
ES 242,Data Structures and Algorithms I,3,0,1.5,4,"Manoj D Gupta(I+L),Anup Kalbalia(L)",,,,"G1,G2
(10/103)",,"I1
(10/104,10/105,10/203,10/204)",https://anup.github.io/courses/es242-2026-27-sem1/,,,,
ES 244,"Signals, Systems, and Random Processes",3,1.5,0,4,Uttama Lahiri(I+T),,,,"D1,D2
(10/103)","H2
(10/103)",,https://drive.google.com/file/d/1XwAH5oaeGiHCihXdgUxrtU8lYoo7MKut/view?usp=sharing,,,,
ES 221,Mechanics of Solids,3,1.5,0,4,Manish Kumar(I+T),,,,"G1,G2
(7/210)","A1
(7/101)",,https://drive.google.com/file/d/1qr2j1c6lTxCJtIJk6oJkx06RH63vpT8U/view?usp=drive_link,,,,
CE 203,Geospatial Engineering,1.5,0,3,3,Vimal Mishra(I+L),,,,"E2
(7/101)",,"J1,L1
(10/102)",,,,,
EE 223,Electrical Machines,2,1,1.5,4,Ragavan K.(I+T+L),,,,"M1,M2
(Surendra C Sheth Learning Theatre)",,"I1,H1,J1,N1
(EE Lab)",https://drive.google.com/file/d/12QVGXFPpgdC4SI_c4nVJdnYjmwEeflr6/view?usp=sharing,,,,
